"lemma","custom_pos","Frequency"
"fully","adv",2
"deserve","v",1
"admiration","n",2
"bestow","v",1
"upon","prep",6
"loss","n",1
"unacquainted","adj",1
"writings","n",1
"attack","v",1
"draw","v",1
"attention","n",3
"neglect","v",1
"conduct","v",1
"argument","n",1
"defect","n",1
"however","adv",3
"do","v",10
"inherent","adj",1
"purely","adj",1
"purely","adv",2
"namely","adv",1
"too","adv",3
"exclusive","adj",2
"emphasis","n",1
"past","adj",1
"past","n",6
"study","n",7
"absolutely","adv",1
"ended","v",1
"never","adv",2
"renew","v",1
"criticism","n",1
"towards","prep",3
"future","adj",1
"future","n",4
"engender","v",2
"excel","n",1
"direct","adj",1
"therefore","adv",4
"student","n",2
"greek","adj",1
"civilisation","n",2
"may","v",14
"become","v",5
"blind","adj",1
"new","adj",3
"grow","v",4
"crude","adj",1
"insolent","adj",1
"vulgar","n",1
"shock","v",1
"sensitive","adj",1
"taste","n",2
"quiver","v",1
"rough","adj",2
"contact","n",2
"he","pron",19
"retire","v",1
"trim","n",1
"garden","n",1
"polished","v",1
"forgett","v",1
"reclaim","v",1
"wilderness","n",1
"earth","n",1
"soiled","v",1
"whom","pron",1
"shrink","v",1
"own","adj",3
"day","n",3
"unable","adj",1
"recognise","v",1
"merit","n",8
"dead","adj",1
"bookish","adj",1
"life","n",12
"seldom","adv",1
"able","adj",2
"pierce","v",1
"through","prep",8
"surroundings","n",1
"essential","adj",2
"splendour","n",2
"contemporary","adj",1
"thing","n",4
"or","conj",17
"hope","n",4
"hope","v",2
"still","adv",3
"greater","adj",2
"eye","n",2
"see","v",5
"old","adj",1
"now","adv",8
"age","n",3
"away","adv",2
"roll","v",1
"weep","v",1
"think","v",3
"heroe","n",1
"posterity","n",1
"chinese","adj",1
"poet","n",1
"impartiality","n",1
"rare","adj",1
"pugnacious","adj",1
"atmosphere","n",1
"where","adv",5
"champion","n",1
"fight","v",1
"end","n",3
"end","v",1
"battle","n",1
"instead","adv",2
"combining","v",1
"seek","v",1
"consideration","n",4
"militate","v",1
"against","prep",4
"static","n",1
"traditional","adj",1
"academic","adj",1
"lead","v",2
"inevitably","adv",1
"fundamental","adj",1
"question","n",6
"true","adj",5
"before","conj",1
"answer","v",2
"define","v",2
"use","v",3
"purpose","n",4
"distinguish","v",1
"mean","n",1
"mean","v",5
"both","conj",1
"perfectly","adv",1
"legitimate","adj",1
"broader","adj",1
"broader","n",1
"narrower","n",2
"than","conj",1
"than","prep",5
"include","v",2
"instruction","n",5
"personal","adj",3
"experience","n",1
"formation","n",3
"character","n",1
"vitally","adv",1
"since","conj",1
"introduce","v",1
"topic","n",1
"foreign","adj",1
"confine","v",1
"imparting","n",1
"definite","adj",1
"information","n",3
"various","adj",1
"subject","n",1
"because","conj",3
"daily","adj",1
"elementary","adj",1
"read","n",1
"write","n",1
"arithmetic","adj",1
"kind","n",2
"necessary","adj",2
"per","v",1
"consider","v",4
"means","n",2
"ask","v",1
"ourselves","pron",1
"sort","n",1
"decide","v",3
"contribute","n",1
"contribute","v",3
"desire","n",10
"desire","v",2
"whole","adj",6
"whole","n",1
"about","prep",1
"number","n",4
"small","adj",1
"primary","adj",3
"primary","n",1
"instinct","n",4
"impulse","adj",1
"impulse","n",12
"way","n",3
"connect","v",2
"appear","v",1
"desirable","adj",1
"faculty","n",1
"whether","conj",2
"virtue","n",2
"call","v",3
"take","v",2
"active","adj",1
"fear","n",3
"outside","adj",2
"outside","prep",1
"region","n",2
"control","v",2
"first","adj",4
"first","n",1
"mover","n",1
"like","prep",2
"like","v",1
"queen","n",3
"bee","n",1
"aide","v",1
"hive","n",1
"worker","n",2
"gather","v",1
"honey","n",2
"go","v",1
"languish","v",1
"die","n",1
"die","v",1
"cell","n",1
"empty","adj",1
"expect","v",1
"sweetness","n",1
"civilised","adj",1
"civilised","v",1
"surround","v",2
"protect","v",1
"busy","adj",1
"swarm","n",1
"attendant","adj",2
"derivative","n",1
"store","v",1
"affords","n",1
"death","n",2
"deal","v",1
"influence","n",2
"though","adv",1
"though","conj",1
"retarde","v",1
"spread","v",1
"slowly","adv",1
"subsidiary","adj",1
"tract","n",1
"inexplicably","adv",1
"colourless","adj",1
"formerly","adv",2
"zest","n",1
"obviously","adv",1
"worth","adj",2
"raise","v",1
"dreary","adj",1
"purposeless","adj",1
"disillusion","n",1
"inquire","v",2
"meaning","n",2
"perhaps","adv",2
"vanity","n",1
"search","n",2
"inner","adj",1
"response","n",1
"must","v",8
"always","adv",1
"disappoint","v",1
"bottom","adj",1
"bottom","n",1
"related","adj",1
"extinct","adj",1
"miracle","n",1
"restore","v",1
"reflect","v",1
"create","v",1
"lack","v",1
"uneducated","adj",1
"enlarge","v",1
"scope","n",2
"human","adj",8
"provide","n",1
"thought","n",3
"show","v",1
"most","adv",3
"permanent","adj",1
"satisfaction","n",2
"find","v",3
"under","prep",2
"horror","n",1
"natural","adj",5
"obvious","adj",3
"truth","n",2
"misconceive","v",1
"young","adj",1
"falsely","adv",1
"regard","v",3
"exclude","v",1
"best","adj",2
"endeavour","n",2
"production","n",1
"stunt","v",1
"contort","v",1
"hypocrite","n",1
"being","n",1
"mistake","n",1
"better","adj",4
"psychology","n",1
"kinder","n",1
"heart","n",1
"begin","v",2
"generation","n",1
"need","v",2
"waste","v",1
"thwart","v",1
"eradicate","v",1
"although","conj",1
"supply","v",1
"initial","adj",1
"spasmodic","adj",1
"fragmentary","adj",1
"yet","adv",3
"yet","conj",2
"violent","adj",1
"set","n",1
"savage","n",1
"constitutional","adj",1
"ministry","n",1
"reflection","n",1
"possible","adj",3
"conflict","n",1
"conflict","v",1
"foreseen","n",1
"temporary","adj",1
"unifying","adj",1
"wisdom","n",1
"destroy","v",3
"crudity","n",1
"wealth","n",1
"individual","n",1
"longer","adv",2
"isolated","adj",1
"fighting","n",1
"unit","n",1
"citizen","n",1
"universe","n",6
"embrace","v",1
"distant","adj",1
"country","n",1
"remote","adj",1
"space","n",1
"vast","adj",1
"stretch","n",1
"within","prep",1
"circle","n",4
"simultaneous","adj",1
"softening","n",1
"insistence","n",1
"enlargement","n",1
"chief","adj",2
"moral","adj",3
"closely","adv",1
"aim","n",2
"imagine","n",1
"imagine","v",2
"objective","adj",2
"manner","n",1
"far","adv",4
"distorting","adj",1
"medium","n",1
"complete","adj",1
"attainment","n",2
"ideal","n",2
"indefinitely","adv",1
"approachable","adj",1
"actually","adv",2
"realisable","adj",1
"process","n",1
"judge","v",1
"successful","adj",1
"proportion","n",2
"outcome","n",1
"approximate","v",1
"place","n",2
"society","n",2
"relation","n",2
"non-human","adj",2
"environment","n",1
"apart","adv",1
"standard","n",1
"return","v",1
"how","adv",2
"respect","n",1
"rival","n",1
"practice","n",1
"opposite","n",1
"sight","n",1
"belong","prep",1
"belong","v",1
"art","n",4
"inherently","adv",1
"certainly","adv",1
"hopefulness","adj",1
"achievement","n",4
"particular","adj",1
"work","n",2
"accomplish","v",1
"intelligent","adj",1
"cheerful","adj",1
"prevent","v",1
"might","v",2
"otherwise","adv",1
"depressing","adj",2
"effect","n",1
"also","adv",1
"greatest","adj",1
"irrelevance","n",1
"passion","n",1
"subjective","adj",2
"apparatus","n",1
"prefer","v",1
"amplification","n",1
"let","v",1
"perpetually","adv",1
"rivet","v",1
"former","adj",2
"ag","n",1
"facilitate","v",1
"fresh","adj",3
"difficulty","n",1
"originality","n",2
"harder","n",1
"artistic","adj",4
"depend","v",1
"freshness","n",1
"naïveté","n",1
"vision","n",1
"hence","n",1
"productions","n",1
"peevishness","n",1
"undue","adj",1
"fastidiousness","n",1
"escape","n",2
"except","conj",1
"except","prep",3
"into","prep",1
"deliberate","adj",1
"vandalism","n",2
"ignore","v",1
"tradition","n",1
"after","prep",3
"achieve","n",1
"achieve","v",2
"eccentic","n",1
"none","n",1
"simplicity","n",2
"spontaneity","n",1
"spring","n",1
"canker","n",1
"core","n",1
"insincerity","n",1
"advantages","n",1
"pretended","v",1
"ignorance","n",1
"despair","n",1
"thus","adv",2
"arise","v",1
"suggest","v",1
"pre-eminent","adj",1
"creation","n",2
"absent","v",1
"method","n",16
"discovery","n",1
"pure","adj",1
"mathematics","n",1
"mathematics","v",1
"yesterday","n",1
"broadly","adv",1
"already","adv",1
"transform","v",1
"success","n",1
"proceed","v",1
"ever","adv",2
"accelerate","v",1
"velocity","n",1
"dependent","adj",1
"progress","n",1
"appearance","n",1
"continually","adv",1
"genius","n",4
"successor","n",2
"stand","v",1
"shoulders","n",1
"predecessor","n",1
"supreme","adj",2
"invent","v",2
"lesser","n",1
"apply","v",2
"transcendent","n",1
"ability","n",1
"edifice","n",1
"mason","n",1
"bricklayer","n",1
"common","adj",2
"labourer","n",1
"foreman","n",1
"master","n",1
"builder","n",1
"architect","n",1
"doing","v",1
"without","prep",5
"moderate","adj",1
"notable","adj",1
"vigour","n",1
"unimpaired","v",1
"previous","adj",1
"perfect","adj",1
"perfect","v",1
"calibre","n",1
"brilliant","adj",1
"inventor","n",2
"immense","n",1
"different","adj",2
"appropriate","adj",1
"class","n",1
"problem","n",1
"above","adv",1
"above","v",1
"definable","v",1
"customary","adj",1
"identify","v",1
"inductive","adj",2
"name","n",1
"deduction","n",1
"induction","n",1
"logic","n",1
"botany","n",1
"geology","n",1
"difficult","adj",2
"task","n",1
"state","v",2
"try","v",1
"indicate","v",1
"temper","n",2
"second","n",1
"mention","n",1
"mention","v",1
"kernel","n",2
"simple","adj",1
"seemingly","adv",1
"trivial","adj",1
"excite","adj",1
"derision","n",1
"refusal","n",1
"afforde","v",1
"key","n",1
"understanding","n",1
"baldly","adv",1
"trite","adj",1
"truism","n",1
"remember","v",1
"consistently","adv",1
"matter","n",1
"arouse","v",1
"passionate","adj",1
"passionate","n",1
"partisanship","n",1
"easy","adj",2
"available","adj",1
"evidence","n",2
"uncertain","adj",1
"inconclusive","adj",1
"few","adj",1
"illustration","n",3
"clear","n",1
"understand","v",1
"star","n",1
"move","v",3
"curve","n",2
"absence","n",1
"contrary","adj",1
"allow","v",1
"himself","pron",1
"appeal","n",2
"æsthetico","v",1
"case","n",1
"once","adv",1
"unjustifiable","adj",1
"know","v",6
"ascertain","v",1
"heavenly","adj",1
"body","n",1
"accurate","adj",1
"ellipse","n",1
"simply","adv",1
"describable","adj",1
"painful","adj",1
"hankering","n",1
"pattern","n",2
"astronomy","n",1
"feeling","n",1
"irrelevant","adj",1
"owe","v",2
"courage","n",1
"insight","n",1
"malthus","n",2
"doctrine","n",3
"population","n",1
"actual","adj",1
"largely","adv",2
"erroneous","adj",1
"conclusions","n",1
"inquiry","n",1
"everyone","pron",1
"part","n",2
"truly","adv",1
"lie","v",1
"praise","n",1
"blame","n",1
"characteristic","adj",1
"behaviour","n",2
"consequence","n",2
"infer","v",1
"falsify","v",1
"conclusion","n",1
"impair","v",1
"objection","n",1
"horrible","adj",1
"people","n",2
"act","n",1
"all","adv",1
"imply","v",1
"unscientific","adj",1
"calm","adj",1
"determination","n",1
"treat","v",1
"phenomenon","n",1
"mark","n",1
"mark","v",1
"advance","n",1
"reformer","n",1
"eighteenth","adj",1
"century","n",1
"revolution","n",1
"fairly","adv",1
"artificial","adj",1
"contortion","n",1
"untouched","v",1
"philosophy","n",4
"philosopher","n",2
"public","adj",1
"pervade","v",1
"page","n",1
"bristle","v",1
"allusion","n",1
"ion","n",1
"germ","n",1
"plasm","n",1
"shell","n",1
"fish","n",1
"quote","v",2
"affair","n",2
"quotation","n",1
"externally","adv",1
"acquire","v",1
"any","adv",1
"manners","n",1
"etiquette","n",1
"book","n",1
"involve","v",2
"sweeping","n",1
"suppression","n",1
"love","n",1
"hate","n",1
"emotional","adj",1
"subdue","adj",1
"material","adj",1
"frankly","adv",1
"preconception","n",1
"bia","n",1
"belief","n",1
"determine","v",1
"positive","adj",2
"negative","adj",2
"should","v",1
"self","n",1
"absorption","n",1
"conceive","v",3
"sentience","n",1
"strange","n",1
"cosy","n",1
"feel","v",1
"home","n",1
"essentially","adv",2
"progressive","adj",1
"deteriorate","v",1
"example","n",1
"cosmic","adj",2
"importance","n",1
"course","adv",1
"justified","adj",1
"justifi","adj",1
"ethically","adv",1
"neutral","adj",1
"term","n",1
"arrive","v",2
"hardly","adv",1
"solid","adj",1
"constructiveness","n",1
"incentife","n",1
"massive","adj",1
"epic","adj",1
"poem","n",1
"curiosity","n",1
"source","n",2
"effort","n",1
"astonished","adj",1
"unveil","adj",1
"secret","n",1
"undiscoverable","adj",1
"larger","adj",1
"wider","adj",1
"private","adj",1
"circumstance","n",1
"recurr","v",1
"cycle","n",1
"birth","n",1
"fulfil","v",1
"else","adj",1
"add","v",1
"happiness","n",2
"splendid","adj",1
"consciousness","n",1
"inestimable","adj",1
"race","n",1
"devote","v",1
"happy","adj",1
"open","adj",1
"dweller","n",1
"troubled","adj",1
"planet","n",1
