"Identifier","Frequency","Languages"
"for_prep",3125,"Germanic"
"for_prep",3125,"Gothic"
"such_adj",237,"Dutch"
"such_adj",237,"Middle Dutch"
"such_adj",237,"Old English"
"such_adj",237,"Frisian"
"such_adj",237,"German"
"such_adj",237,"Old High German"
"such_adj",237,"Germanic"
"such_adj",237,"Gothic"
"such_adj",237,"Old Norse"
"few_adj",249,"Danish"
"few_adj",249,"Old English"
"few_adj",249,"Frisian"
"few_adj",249,"German"
"few_adj",249,"Old High German"
"few_adj",249,"Germanic"
"few_adj",249,"Old Norse"
"note_n",29,"French"
"note_n",29,"Old French"
"note_n",29,"Latin"
"note_v",6,"French"
"note_v",6,"Old French"
"note_v",6,"Latin"
"on_adv",225,"Avestan"
"on_adv",225,"Dutch"
"on_adv",225,"Old English"
"on_adv",225,"German"
"on_adv",225,"Germanic"
"on_adv",225,"Gothic"
"on_adv",225,"Greek"
"on_adv",225,"Latin"
"on_adv",225,"Lithuanian"
"on_adv",225,"Church Slavonic"
"on_adv",225,"Old Church Slavonic"
"on_prep",2747,"Avestan"
"on_prep",2747,"Dutch"
"on_prep",2747,"Old English"
"on_prep",2747,"German"
"on_prep",2747,"Germanic"
"on_prep",2747,"Gothic"
"on_prep",2747,"Greek"
"on_prep",2747,"Latin"
"on_prep",2747,"Lithuanian"
"on_prep",2747,"Church Slavonic"
"on_prep",2747,"Old Church Slavonic"
"important_adj",35,"Latin"
"point_n",102,"Middle English"
"point_n",102,"French"
"point_n",102,"Old French"
"point_n",102,"Latin"
"point_v",52,"French"
"point_v",52,"Old French"
"collect_v",9,"French"
"collect_v",9,"Old French"
"collect_v",9,"Latin"
"lore_n",45,"Dutch"
"lore_n",45,"Middle Dutch"
"lore_n",45,"Old English"
"lore_n",45,"Frisian"
"lore_n",45,"German"
"lore_n",45,"Old High German"
"lore_n",45,"Germanic"
"but_adv",6,"Middle English"
"but_adv",6,"Old English"
"but_adv",6,"German"
"but_adv",6,"Germanic"
"but_prep",13,"Middle English"
"but_prep",13,"Old English"
"but_prep",13,"German"
"but_prep",13,"Germanic"
"very_adj",79,"Middle English"
"very_adj",79,"French"
"very_adj",79,"Old French"
"very_adj",79,"Italian"
"very_adj",79,"Latin"
"ancient_adj",88,"French"
"ancient_adj",88,"Old French"
"ancient_adj",88,"Latin"
"numerous_adj",8,"Latin"
"formerly_adv",2,"Middle English"
"than_conj",196,"Dutch"
"than_conj",196,"Old English"
"than_conj",196,"German"
"than_conj",196,"Germanic"
"love_n",35,"Dutch"
"love_n",35,"Old English"
"love_n",35,"Frisian"
"love_n",35,"German"
"love_n",35,"Old High German"
"love_n",35,"Germanic"
"love_n",35,"Gothic"
"love_n",35,"Old Norse"
"love_v",82,"Old English"
"love_v",82,"German"
"love_v",82,"Old High German"
"love_v",82,"Germanic"
"peace_n",99,"Old English"
"peace_n",99,"French"
"peace_n",99,"Old French"
"peace_n",99,"Greek"
"peace_n",99,"Hebrew"
"peace_n",99,"Italian"
"peace_n",99,"Latin"
"peace_n",99,"Provençal"
"peace_n",99,"Spanish"
"quiet_adj",45,"French"
"quiet_adj",45,"Old French"
"quiet_adj",45,"Latin"
"quiet_n",29,"French"
"quiet_n",29,"Old French"
"quiet_n",29,"Latin"
"quiet_v",1,"Latin"
"good_adj",483,"Dutch"
"good_adj",483,"Middle Dutch"
"good_adj",483,"Middle English"
"good_adj",483,"Old English"
"good_adj",483,"Frisian"
"good_adj",483,"German"
"good_adj",483,"Old High German"
"good_adj",483,"Germanic"
"good_adj",483,"Gothic"
"good_adj",483,"Latin"
"good_adj",483,"Lithuanian"
"good_adj",483,"Old Norse"
"good_adj",483,"Church Slavonic"
"good_adj",483,"Old Church Slavonic"
"good_adj",483,"Russian"
"good_adj",483,"Sanskrit"
"good_n",22,"Middle English"
"good_n",22,"Old English"
"earth_n",117,"Dutch"
"earth_n",117,"Middle Dutch"
"earth_n",117,"Old English"
"earth_n",117,"Frisian"
"earth_n",117,"German"
"earth_n",117,"Old High German"
"earth_n",117,"Germanic"
"earth_n",117,"Gothic"
"earth_n",117,"Old Norse"
"well_adv",341,"Dutch"
"well_adv",341,"Old English"
"well_adv",341,"Frisian"
"well_adv",341,"German"
"well_adv",341,"Old High German"
"well_adv",341,"Germanic"
"well_adv",341,"Gothic"
"well_adv",341,"Latin"
"well_adv",341,"Old Norse"
"well_adv",341,"Church Slavonic"
"well_adv",341,"Old Church Slavonic"
"well_adv",341,"Sanskrit"
"well_adv",341,"Welsh"
"well_n",13,"Old English"
"well_v",10,"Old English"
"well_v",10,"Frisian"
"well_v",10,"German"
"well_v",10,"Old High German"
"well_v",10,"Germanic"
"well_v",10,"Gothic"
"well_v",10,"Old Norse"
"order_n",75,"Old English"
"order_n",75,"French"
"order_n",75,"Old French"
"order_n",75,"Latin"
"haunt_n",3,"Middle English"
"haunt_n",3,"French"
"haunt_n",3,"Old French"
"haunt_v",7,"Middle English"
"haunt_v",7,"French"
"haunt_v",7,"Old French"
"haunt_v",7,"German"
"haunt_v",7,"Germanic"
"haunt_v",7,"Old Norse"
"understand_v",134,"Danish"
"understand_v",134,"Middle English"
"understand_v",134,"Old English"
"understand_v",134,"Frisian"
"understand_v",134,"German"
"understand_v",134,"Germanic"
"understand_v",134,"Greek"
"understand_v",134,"Indo-European"
"understand_v",134,"Latin"
"understand_v",134,"Sanskrit"
"or_conj",1757,"Dutch"
"or_conj",1757,"Middle Dutch"
"or_conj",1757,"Middle English"
"or_conj",1757,"Old English"
"or_conj",1757,"Frisian"
"or_conj",1757,"German"
"or_conj",1757,"Old High German"
"or_conj",1757,"Gothic"
"or_conj",1757,"Old Norse"
"like_adj",17,"Dutch"
"like_adj",17,"Old English"
"like_adj",17,"German"
"like_adj",17,"Germanic"
"like_adj",17,"Gothic"
"like_adj",17,"Latin"
"like_n",3,"Old English"
"like_v",177,"Dutch"
"like_v",177,"Old English"
"like_v",177,"Frisian"
"like_v",177,"German"
"like_v",177,"Old High German"
"like_v",177,"Germanic"
"like_v",177,"Gothic"
"like_v",177,"Old Norse"
"machine_n",2,"French"
"machine_n",2,"Middle French"
"machine_n",2,"German"
"machine_n",2,"Germanic"
"machine_n",2,"Greek"
"machine_n",2,"Italian"
"machine_n",2,"Latin"
"machine_n",2,"Slavic"
"machine_n",2,"Spanish"
"bellow_v",3,"Old English"
"hand_n",742,"Dutch"
"hand_n",742,"Middle English"
"hand_n",742,"Old English"
"hand_n",742,"Frisian"
"hand_n",742,"German"
"hand_n",742,"Germanic"
"hand_n",742,"Gothic"
"hand_n",742,"Indo-European"
"hand_n",742,"Irish"
"hand_n",742,"Latin"
"hand_n",742,"Old Norse"
"hand_n",742,"Welsh"
"hand_v",26,"Old English"
"loom_n",1,"Old English"
"loom_v",60,"Frisian"
"loom_v",60,"German"
"loom_v",60,"Low German"
"loom_v",60,"Swedish"
"though_adv",68,"Dutch"
"though_adv",68,"Middle Dutch"
"though_adv",68,"Old English"
"though_adv",68,"Frisian"
"though_adv",68,"German"
"though_adv",68,"Old High German"
"though_adv",68,"Germanic"
"though_adv",68,"Gothic"
"though_adv",68,"Old Norse"
"though_conj",399,"Dutch"
"though_conj",399,"Middle Dutch"
"though_conj",399,"Old English"
"though_conj",399,"Frisian"
"though_conj",399,"German"
"though_conj",399,"Old High German"
"though_conj",399,"Germanic"
"though_conj",399,"Gothic"
"though_conj",399,"Old Norse"
"tool_n",8,"Old English"
"tool_n",8,"German"
"tool_n",8,"Germanic"
"tool_n",8,"Old Norse"
"even_adj",1,"Danish"
"even_adj",1,"Dutch"
"even_adj",1,"Middle English"
"even_adj",1,"Old English"
"even_adj",1,"Frisian"
"even_adj",1,"German"
"even_adj",1,"Old High German"
"even_adj",1,"Germanic"
"even_adj",1,"Gothic"
"even_adj",1,"Old Norse"
"even_n",3,"Old English"
"even_v",3,"Old English"
"day_n",815,"Dutch"
"day_n",815,"Middle Dutch"
"day_n",815,"Middle English"
"day_n",815,"Old English"
"day_n",815,"Frisian"
"day_n",815,"German"
"day_n",815,"Old High German"
"day_n",815,"Germanic"
"day_n",815,"Gothic"
"day_n",815,"Latin"
"day_n",815,"Old Norse"
"as_adv",483,"Old English"
"as_adv",483,"German"
"as_adv",483,"Middle High German"
"as_adv",483,"Latin"
"as_conj",2145,"Old English"
"as_conj",2145,"German"
"as_conj",2145,"Middle High German"
"as_conj",2145,"Latin"
"rule_n",29,"French"
"rule_n",29,"Old French"
"rule_n",29,"Latin"
"rule_v",25,"French"
"rule_v",25,"Old French"
"rule_v",25,"Latin"
"we_pron",4237,"Danish"
"we_pron",4237,"Dutch"
"we_pron",4237,"Old English"
"we_pron",4237,"Frisian"
"we_pron",4237,"German"
"we_pron",4237,"Old High German"
"we_pron",4237,"Germanic"
"we_pron",4237,"Gothic"
"we_pron",4237,"Hittite"
"we_pron",4237,"Lithuanian"
"we_pron",4237,"Old Norse"
"we_pron",4237,"Church Slavonic"
"we_pron",4237,"Old Church Slavonic"
"we_pron",4237,"Persian"
"we_pron",4237,"Old Persian"
"we_pron",4237,"Sanskrit"
"now_adv",2124,"Avestan"
"now_adv",2124,"Dutch"
"now_adv",2124,"Middle English"
"now_adv",2124,"Old English"
"now_adv",2124,"Frisian"
"now_adv",2124,"German"
"now_adv",2124,"Germanic"
"now_adv",2124,"Gothic"
"now_adv",2124,"Greek"
"now_adv",2124,"Hittite"
"now_adv",2124,"Irish"
"now_adv",2124,"Old Irish"
"now_adv",2124,"Latin"
"now_adv",2124,"Lithuanian"
"now_adv",2124,"Old Norse"
"now_adv",2124,"Church Slavonic"
"now_adv",2124,"Old Church Slavonic"
"now_adv",2124,"Persian"
"now_adv",2124,"Old Persian"
"now_adv",2124,"Sanskrit"
"avoid_v",22,"Middle English"
"avoid_v",22,"French"
"avoid_v",22,"Old French"
"avoid_v",22,"Latin"
"dismay_n",29,"French"
"dismay_n",29,"Old French"
"dismay_v",8,"Middle English"
"dismay_v",8,"French"
"dismay_v",8,"Old French"
"dismay_v",8,"German"
"dismay_v",8,"Old High German"
"dismay_v",8,"Germanic"
"dismay_v",8,"Italian"
"dismay_v",8,"Latin"
"dismay_v",8,"Spanish"
"hard_adj",120,"Dutch"
"hard_adj",120,"Middle English"
"hard_adj",120,"Old English"
"hard_adj",120,"Frisian"
"hard_adj",120,"German"
"hard_adj",120,"Old High German"
"hard_adj",120,"Germanic"
"hard_adj",120,"Gothic"
"hard_adj",120,"Old Norse"
"hard_adv",37,"Old English"
"quick_adj",58,"Dutch"
"quick_adj",58,"Middle English"
"quick_adj",58,"Old English"
"quick_adj",58,"Frisian"
"quick_adj",58,"German"
"quick_adj",58,"Old High German"
"quick_adj",58,"Germanic"
"quick_adj",58,"Indo-European"
"quick_adj",58,"Old Norse"
"quick_n",2,"Middle English"
"quick_n",2,"Old English"
"hear_v",719,"Dutch"
"hear_v",719,"Old English"
"hear_v",719,"Frisian"
"hear_v",719,"German"
"hear_v",719,"Germanic"
"hear_v",719,"Gothic"
"hear_v",719,"Greek"
"hear_v",719,"Old Norse"
"sharp_adj",44,"Dutch"
"sharp_adj",44,"Old English"
"sharp_adj",44,"Frisian"
"sharp_adj",44,"German"
"sharp_adj",44,"Germanic"
"sharp_adj",44,"Irish"
"sharp_adj",44,"Middle Irish"
"sharp_adj",44,"Old Norse"
"eye_n",660,"Danish"
"eye_n",660,"Dutch"
"eye_n",660,"Middle Dutch"
"eye_n",660,"Old English"
"eye_n",660,"Frisian"
"eye_n",660,"German"
"eye_n",660,"Old High German"
"eye_n",660,"Germanic"
"eye_n",660,"Gothic"
"eye_n",660,"Old Norse"
"eye_n",660,"Swedish"
"fat_adj",10,"Dutch"
"fat_adj",10,"Middle English"
"fat_adj",10,"Old English"
"fat_adj",10,"French"
"fat_adj",10,"Frisian"
"fat_adj",10,"German"
"fat_adj",10,"Germanic"
"fat_adj",10,"Greek"
"fat_adj",10,"Latin"
"fat_adj",10,"Lithuanian"
"fat_adj",10,"Old Norse"
"fat_adj",10,"Sanskrit"
"fat_adj",10,"Spanish"
"fat_n",5,"Danish"
"fat_n",5,"Dutch"
"fat_n",5,"German"
"fat_n",5,"Swedish"
"hurry_v",36,"Middle English"
"hurry_v",36,"German"
"hurry_v",36,"Middle High German"
"hurry_v",36,"Germanic"
"hurry_v",36,"Swedish"
"nimble_adj",4,"Dutch"
"nimble_adj",4,"Old English"
"nimble_adj",4,"Frisian"
"nimble_adj",4,"German"
"nimble_adj",4,"Germanic"
"nimble_adj",4,"Gothic"
"nimble_adj",4,"Old Norse"
"movement_n",26,"French"
"movement_n",26,"Old French"
"movement_n",26,"Latin"
"art_n",27,"Middle English"
"art_n",27,"French"
"art_n",27,"Old French"
"art_n",27,"Greek"
"art_n",27,"Latin"
"art_n",27,"Sanskrit"
"when_adv",1024,"Dutch"
"when_adv",1024,"Middle Dutch"
"when_adv",1024,"Old English"
"when_adv",1024,"Frisian"
"when_adv",1024,"German"
"when_adv",1024,"Old High German"
"when_adv",1024,"Germanic"
"when_adv",1024,"Latin"
"folk_n",302,"Dutch"
"folk_n",302,"Middle Dutch"
"folk_n",302,"Middle English"
"folk_n",302,"Old English"
"folk_n",302,"Frisian"
"folk_n",302,"German"
"folk_n",302,"Old High German"
"folk_n",302,"Germanic"
"folk_n",302,"Greek"
"folk_n",302,"Latin"
"folk_n",302,"Lithuanian"
"folk_n",302,"Old Norse"
"folk_n",302,"Church Slavonic"
"folk_n",302,"Old Church Slavonic"
"folk_n",302,"Russian"
"folk_n",302,"Slavic"
